Metric,Basic,Enhanced,Algebraic
Security parameter ,192,192,192
Block size (bytes),256,256,256
Key generation time (ms),271.79,271.79,3.09
Avg time per block (ms),0.0606,0.1322,0.8436
CSP proof gen time (ms),0.058,0.0799,0.7618
TPA verification time (ms),0.0145,0.055,0.5444
 tag size (bytes),48,48,24
Block size (bytes),512,512,512
Key generation time (ms),271.79,271.79,3.09
Avg time per block (ms),0.1585,0.2644,2.1087
CSP proof gen time (ms),0.9922,0.1516,1.8151
TPA verification time (ms),0.0215,0.0513,1.2903
 tag size (bytes),48,48,24
Block size (bytes),1024,1024,1024
Key generation time (ms),271.79,271.79,3.09
Avg time per block (ms),0.1221,0.3582,4.6367
CSP proof gen time (ms),0.1064,0.3038,1.9906
TPA verification time (ms),0.0294,0.0216,2.061
 tag size (bytes),48,48,24
Block size (bytes),2048,2048,2048
Key generation time (ms),271.79,271.79,3.09
Avg time per block (ms),0.2031,0.6289,6.4946
CSP proof gen time (ms),0.1404,0.2395,4.7389
TPA verification time (ms),0.0101,0.0154,4.2524
 tag size (bytes),48,48,24
